question,answer
"Vào lúc 10h30 sáng, ngày 15/8/2023, tại giao lộ Hai Bà Trưng – Đường Sài Gòn, một chiếc ô tô sedan của anh Nguyễn Minh đã vi phạm: (1) chạy quá tốc độ quy định (100 km/h trên đoạn đường có giới hạn 60 km/h) và (2) không dừng lại tại đèn giao thông khi đèn chuyển sang đỏ. Bạn sẽ tư vấn anh Nguyễn Minh về mức phạt tiền, hình thức xử lý và các biện pháp bảo vệ quyền lợi theo Luật Giao thông Đường bộ Việt Nam?","Đối với tình huống: Vào lúc 10h30 sáng, ngày 15/8/2023, tại giao lộ Hai Bà Trưng – Đường Sài Gòn, một chiếc ô tô sedan của anh Nguyễn Minh đã vi phạm: (1) chạy quá tốc độ quy định (100 km/h trên đoạn đường có giới hạn 60 km/h) và (2) không dừng lại tại đèn giao thông khi đèn chuyển sang đỏ. Bạn sẽ tư vấn anh Nguyễn Minh về mức phạt tiền, hình thức xử lý và các biện pháp bảo vệ quyền lợi theo Luật Giao thông Đường bộ Việt Nam?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ Việt Nam, xử lý như sau:
1. Chạy quá tốc độ
Chạy 100 km/h trên đoạn đường giới hạn 60 km/h
Mức phạt tiền: từ 30,000,000 – 50,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
2. Không dừng tại đèn giao thông đỏ
Không dừng lại khi đèn chuyển sang đỏ
Mức phạt tiền: từ 10,000,000 – 30,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Luật Giao thông đường bộ Việt Nam, Điều 30; Luật Giao thông đường bộ Việt Nam, Điều 31.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 40 000 000 đến 80 000 000 đồng), và có nguy cơ bị tước GPLX tối đa 6 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 40,000,000 – 80,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 6 tháng."
"Vào lúc 6:45 sáng ngày 15/12/2023, tại thành phố Hà Nội, trên đường quốc lộ 5A (đường cao tốc), một chiếc ô tô sang trọng đang di chuyển với tốc độ 120 km/h (vượt giới hạn 80 km/h) vừa phanh khẩn cấp vì một con xe tải cẩu xuất hiện đột ngột, vừa dừng lại hoàn toàn mà không bật đèn tín hiệu, tiếp tục chạy hết giai đoạn băng rãnh trên dốc leo. Khi xe ô tô vào giao lộ với đường phố, xe không dừng lại tại đèn tín hiệu đỏ mà tiếp tục đi qua vạch cấm, gây nguy hiểm cho người đi bộ. Hành vi nào trong tình huống này vi phạm quy định của Luật Giao thông Đường bộ Việt Nam và có thể bị xử phạt như thế nào?","Đối với tình huống: Vào lúc 6:45 sáng ngày 15/12/2023, tại thành phố Hà Nội, trên đường quốc lộ 5A (đường cao tốc), một chiếc ô tô sang trọng đang di chuyển với tốc độ 120 km/h (vượt giới hạn 80 km/h) vừa phanh khẩn cấp vì một con xe tải cẩu xuất hiện đột ngột, vừa dừng lại hoàn toàn mà không bật đèn tín hiệu, tiếp tục chạy hết giai đoạn băng rãnh trên dốc leo. Khi xe ô tô vào giao lộ với đường phố, xe không dừng lại tại đèn tín hiệu đỏ mà tiếp tục đi qua vạch cấm, gây nguy hiểm cho người đi bộ. Hành vi nào trong tình huống này vi phạm quy định của Luật Giao thông Đường bộ Việt Nam và có thể bị xử phạt như thế nào?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ 2005, xử lý như sau:
1. Vi phạm giới hạn tốc độ
Xe ô tô di chuyển với tốc độ 120 km/h trên đường quốc lộ 5A, vượt giới hạn 80 km/h.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
2. Không bật đèn tín hiệu khi dừng lại
Xe ô tô dừng lại mà không bật đèn tín hiệu khi xuất hiện xe tải cẩu.
Mức phạt tiền: từ 1,000,000 – 3,000,000 đồng.
3. Không dừng tại đèn tín hiệu đỏ
Xe ô tô tiếp tục đi qua vạch cấm khi đèn tín hiệu đỏ.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Luật Giao thông đường bộ 2005, 30, Vi phạm giới hạn tốc độ; Luật Giao thông đường bộ 2005, 31, Không bật đèn tín hiệu khi dừng lại; Luật Giao thông đường bộ 2005, 32, Không dừng tại đèn tín hiệu đỏ.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 11000000 đến 23000000 đồng), và có nguy cơ bị tước GPLX tối đa 6 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 11,000,000 – 23,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Trong lúc ban đêm lúc 23h, tại đoạn đường cao tốc tỉnh Hà Nam chạy từ tỉnh Bắc Ninh đến tỉnh Nam Định, một tài xế lái ô tô tải chưa có giấy phép lái xe hợp lệ đã vượt tốc độ 60 km/h quá giới hạn (giới hạn là 80 km/h). Khi đến gần một đèn giao thông chuyển đổi màu, tài xế vẫn tiếp tục lái xe qua đèn đỏ mà không dừng lại, đồng thời đang sử dụng điện thoại di động để nhắn tin. Tài xế này đã vi phạm hai hành vi giao thông nào trong luật giao thông đường bộ Việt Nam?","Đối với tình huống: Trong lúc ban đêm lúc 23h, tại đoạn đường cao tốc tỉnh Hà Nam chạy từ tỉnh Bắc Ninh đến tỉnh Nam Định, một tài xế lái ô tô tải chưa có giấy phép lái xe hợp lệ đã vượt tốc độ 60 km/h quá giới hạn (giới hạn là 80 km/h). Khi đến gần một đèn giao thông chuyển đổi màu, tài xế vẫn tiếp tục lái xe qua đèn đỏ mà không dừng lại, đồng thời đang sử dụng điện thoại di động để nhắn tin. Tài xế này đã vi phạm hai hành vi giao thông nào trong luật giao thông đường bộ Việt Nam?
Theo Luật Giao thông đường bộ Việt Nam, Luật giao thông đường bộ 2019, xử lý như sau:
1. Vi phạm tốc độ vượt giới hạn
Lái xe vượt tốc độ 140 km/h trên đoạn đường cao tốc, giới hạn 80 km/h.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
2. Vi phạm quy định đèn giao thông
Lái xe vượt qua đèn đỏ khi đang tiếp cận đèn giao thông chuyển đổi màu.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
Căn cứ: Luật giao thông đường bộ 2019, 62, Điều 62; Luật giao thông đường bộ 2019, 63, Điều 63.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 10 đến 20 triệu đồng), và có nguy cơ bị tước GPLX tối đa 12 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 10,000,000 – 20,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 6 tháng."
"Một tài xế xe máy, vào lúc 21:30 ngày 5/05/2023, trên đường cao tốc 7 tại tỉnh Bắc Ninh, đã: 1) chạy xe khi thở thuốc lá; 2) vượt tốc độ quy định 110 km/h trên đoạn đường tốc độ tối đa 90 km/h; 3) không đội mũ bảo hiểm. Hành vi vi phạm giao thông nào mà người lái đã thực hiện?","Đối với tình huống: Một tài xế xe máy, vào lúc 21:30 ngày 5/05/2023, trên đường cao tốc 7 tại tỉnh Bắc Ninh, đã: 1) chạy xe khi thở thuốc lá; 2) vượt tốc độ quy định 110 km/h trên đoạn đường tốc độ tối đa 90 km/h; 3) không đội mũ bảo hiểm. Hành vi vi phạm giao thông nào mà người lái đã thực hiện?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Chạy xe khi thở thuốc lá
Đã chạy xe khi thở thuốc lá.
Mức phạt tiền: từ 1,000,000 – 1,000,000 đồng.
2. Vượt tốc độ quy định
Đã vượt tốc độ quy định 110 km/h trên đoạn đường tốc độ tối đa 90 km/h.
Mức phạt tiền: từ 1,000,000 – 1,000,000 đồng.
3. Không đội mũ bảo hiểm
Đã không đội mũ bảo hiểm khi lái xe máy.
Mức phạt tiền: từ 1,000,000 – 1,000,000 đồng.
Căn cứ: Luật Giao thông đường bộ, 41, đi xe khi thở thuốc lá; Luật Giao thông đường bộ, 42, vượt tốc độ quy định; Luật Giao thông đường bộ, 41, không đội mũ bảo hiểm.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 3000000 đến 3000000 đồng), và có nguy cơ bị tước GPLX tối đa 0 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 3,000,000 – 3,000,000 đồng)."
"Vào lúc 22h15, trên đoạn đường cao tốc Hà Nội – Hai Bà Trưng, xe tải tải hàng đã vượt giới hạn tốc độ 60 km/h, không giữ khoảng cách an toàn khi tiếp cận lỗ giao lộ có đèn tín hiệu đỏ. Khi tiếp cận giao lộ, người lái đã không chờ đèn chuyển sang xanh mà vượt qua, đồng thời vẫn đang có dấu hiệu lái xe dưới ảnh hưởng rượu. Hành vi vi phạm giao thông mà xe tải này đã thực hiện là gì?","Đối với tình huống: Vào lúc 22h15, trên đoạn đường cao tốc Hà Nội – Hai Bà Trưng, xe tải tải hàng đã vượt giới hạn tốc độ 60 km/h, không giữ khoảng cách an toàn khi tiếp cận lỗ giao lộ có đèn tín hiệu đỏ. Khi tiếp cận giao lộ, người lái đã không chờ đèn chuyển sang xanh mà vượt qua, đồng thời vẫn đang có dấu hiệu lái xe dưới ảnh hưởng rượu. Hành vi vi phạm giao thông mà xe tải này đã thực hiện là gì?
Theo Luật Giao thông đường bộ Việt Nam, xử lý như sau:"
"Hôm nay, lúc 21:00, một chiếc xe máy đang di chuyển trên đường bộ 2 chiều tại giao lộ Nam Hòa – Hà Nội, đã (1) vượt qua đèn đỏ ở vòng giao thông, (2) vượt quá tốc độ quy định 30 km/h, và (3) không giữ khoảng cách an toàn khi rẽ sang đường phụ. Bạn hãy phân tích các hành vi vi phạm luật giao thông vi phạm trong tình huống này và hậu quả pháp lý có thể xảy ra?","Đối với tình huống: Hôm nay, lúc 21:00, một chiếc xe máy đang di chuyển trên đường bộ 2 chiều tại giao lộ Nam Hòa – Hà Nội, đã (1) vượt qua đèn đỏ ở vòng giao thông, (2) vượt quá tốc độ quy định 30 km/h, và (3) không giữ khoảng cách an toàn khi rẽ sang đường phụ. Bạn hãy phân tích các hành vi vi phạm luật giao thông vi phạm trong tình huống này và hậu quả pháp lý có thể xảy ra?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Vượt qua đèn đỏ
Vi phạm quy định về đèn tín hiệu giao thông khi vượt qua đèn đỏ tại vòng giao thông.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
2. Vượt quá tốc độ quy định
Vi phạm quy định về tốc độ khi vượt quá giới hạn tốc độ quy định 30 km/h.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
3. Không giữ khoảng cách an toàn khi rẽ
Vi phạm quy định về khoảng cách an toàn khi rẽ sang đường phụ.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Luật Giao thông đường bộ, 73, điều 73; Luật Giao thông đường bộ, 74, điều 74; Luật Giao thông đường bộ, 75, điều 75.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 15000000 đến 30000000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 15,000,000 – 30,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Tại giao lộ đường quốc lộ 1A, lúc 7 giờ sáng thứ Hai, anh Nguyễn X lái xe ô tô Toyota Camry qua một điểm giao thông đang có đèn tín hiệu đỏ, anh không dừng lại (vi phạm 1: chạy ngừng đèn tín hiệu đỏ) và khi vào đường một chiều, anh cũng không bật tín hiệu quay (vi phạm 2: không sử dụng tín hiệu quay đúng quy định). Thêm vào đó, anh không đội dây an toàn (vi phạm 3: không đội mũ bảo hiểm). Bạn cần xác định và phân tích mức phạt pháp lý có thể áp dụng cho từng vi phạm trong trường hợp này.","Đối với tình huống: Tại giao lộ đường quốc lộ 1A, lúc 7 giờ sáng thứ Hai, anh Nguyễn X lái xe ô tô Toyota Camry qua một điểm giao thông đang có đèn tín hiệu đỏ, anh không dừng lại (vi phạm 1: chạy ngừng đèn tín hiệu đỏ) và khi vào đường một chiều, anh cũng không bật tín hiệu quay (vi phạm 2: không sử dụng tín hiệu quay đúng quy định). Thêm vào đó, anh không đội dây an toàn (vi phạm 3: không đội mũ bảo hiểm). Bạn cần xác định và phân tích mức phạt pháp lý có thể áp dụng cho từng vi phạm trong trường hợp này.
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ (2019), xử lý như sau:
1. Chạy ngừng đèn tín hiệu đỏ
Lái xe qua điểm giao thông khi đèn tín hiệu đỏ, không dừng lại.
Mức phạt tiền: từ 1,000,000 – 1,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
2. Không bật tín hiệu quay
Khi vào đường một chiều, không bật tín hiệu quay đúng quy định.
Mức phạt tiền: từ 500,000 – 500,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
3. Không đội mũ bảo hiểm (đội dây an toàn)
Lái xe không đội mũ bảo hiểm (đội dây an toàn) khi tham gia giao thông.
Mức phạt tiền: từ 500,000 – 500,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
Căn cứ: Luật Giao thông đường bộ (2019), 107, Điều 107; Luật Giao thông đường bộ (2019), 108, Điều 108; Luật Giao thông đường bộ (2019), 109, Điều 109.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 2000000 đến 2000000 đồng), và có nguy cơ bị tước GPLX tối đa 5 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 2,000,000 – 2,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Vào ngày 12/10/2023 lúc 08h30, tại đoạn đường chéo trung tâm Đống Đa, đường tỉnh lộ 103, một chiếc xe máy đăng ký số 29H1234 đang di chuyển tới công ty đã vi phạm hai quy định: 1) Không đội mũ bảo hiểm, 2) Đi nhanh quá tốc độ cho phép khi đã chậm lại tại đèn giao thông đỏ. Khi xe máy này gặp tai nạn nổ, trách nhiệm pháp lý của lái xe và các bên liên quan sẽ như thế nào và có thể áp dụng hình thức xử lý pháp lý nào?","Đối với tình huống: Vào ngày 12/10/2023 lúc 08h30, tại đoạn đường chéo trung tâm Đống Đa, đường tỉnh lộ 103, một chiếc xe máy đăng ký số 29H1234 đang di chuyển tới công ty đã vi phạm hai quy định: 1) Không đội mũ bảo hiểm, 2) Đi nhanh quá tốc độ cho phép khi đã chậm lại tại đèn giao thông đỏ. Khi xe máy này gặp tai nạn nổ, trách nhiệm pháp lý của lái xe và các bên liên quan sẽ như thế nào và có thể áp dụng hình thức xử lý pháp lý nào?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ 2008, Luật Giao thông đường bộ 2019, xử lý như sau:
1. Không đội mũ bảo hiểm
Không đội mũ bảo hiểm khi điều khiển xe máy.
Mức phạt tiền: từ 500,000 – 500,000 đồng.
2. Đi quá tốc độ khi đã chậm lại tại đèn giao thông đỏ
Đi nhanh quá tốc độ cho phép khi đã chậm lại tại đèn giao thông đỏ.
Mức phạt tiền: từ 1,000,000 – 1,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
3. Gây tai nạn giao thông, gây thương tích hoặc tử vong
Gây tai nạn giao thông, gây thương tích hoặc tử vong do vi phạm các quy định trên.
Mức phạt tiền: từ 5,000,000 – 5,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Luật Giao thông đường bộ 2008, 73, 1; Luật Giao thông đường bộ 2008, 73, 2; Luật Giao thông đường bộ 2008, 73, 3; Luật Giao thông đường bộ 2019, 73, 1; Luật Giao thông đường bộ 2019, 73, 2; Luật Giao thông đường bộ 2019, 73, 3.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 6,500,000 đến 6,500,000 đồng), và có nguy cơ bị tước GPLX tối đa 4 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 6,500,000 – 6,500,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Vào lúc 22h30, trên đường tỉnh lộ 23 tại ngã tư đường C/D, một chiếc xe máy đã không đội mũ bảo hiểm, vượt quá tốc độ cho phép, và khi đi vào ngã tư đã chạy qua đèn giao thông đỏ, gây tai nạn với một chiếc xe tải đang di chuyển. Hãy phân tích trách nhiệm pháp lý của người vi phạm và áp dụng các quy định pháp luật giao thông Việt Nam phù hợp.","Đối với tình huống: Vào lúc 22h30, trên đường tỉnh lộ 23 tại ngã tư đường C/D, một chiếc xe máy đã không đội mũ bảo hiểm, vượt quá tốc độ cho phép, và khi đi vào ngã tư đã chạy qua đèn giao thông đỏ, gây tai nạn với một chiếc xe tải đang di chuyển. Hãy phân tích trách nhiệm pháp lý của người vi phạm và áp dụng các quy định pháp luật giao thông Việt Nam phù hợp.
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ 2008 (Luật số 29/2008/QH13), xử lý như sau:
1. Không đội mũ bảo hiểm khi lái xe máy
Xe máy không đội mũ bảo hiểm khi tham gia giao thông.
Mức phạt tiền: từ 1,000,000 – 2,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
2. Vượt quá tốc độ cho phép
Xe máy vượt tốc độ quy định tại đường tỉnh lộ 23.
Mức phạt tiền: từ 1,000,000 – 3,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
3. Chạy qua đèn giao thông đỏ
Xe máy đi vào ngã tư khi đèn giao thông đang đỏ.
Mức phạt tiền: từ 1,000,000 – 3,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
4. Gây tai nạn giao thông
Xe máy gây tai nạn với xe tải, gây thiệt hại và nguy hiểm.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Luật Giao thông đường bộ 2008 (Luật số 29/2008/QH13), 71, Điều 71; Luật Giao thông đường bộ 2008 (Luật số 29/2008/QH13), 73, Điều 73; Luật Giao thông đường bộ 2008 (Luật số 29/2008/QH13), 74, Điều 74; Luật Giao thông đường bộ 2008 (Luật số 29/2008/QH13), 75, Điều 75.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 8,000,000 đến 18,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 15 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 8,000,000 – 18,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Vào lúc 22:30 giờ, trên đường quốc lộ 1A tại tỉnh Phú Thọ, một chiếc xe máy hành khách tiến vào ngã tư, vượt qua biển dừng, ngay sau đó tiếp cận ngay khi một chiếc xe cứu thương đang chạy theo lệnh khẩn cấp với đèn báo khẩn cấp sáng, và tiếp tục vào dải đường dành cho xe cứu thương. Hành vi vi phạm giao thông nào mà người lái xe máy đã thực hiện?","Đối với tình huống: Vào lúc 22:30 giờ, trên đường quốc lộ 1A tại tỉnh Phú Thọ, một chiếc xe máy hành khách tiến vào ngã tư, vượt qua biển dừng, ngay sau đó tiếp cận ngay khi một chiếc xe cứu thương đang chạy theo lệnh khẩn cấp với đèn báo khẩn cấp sáng, và tiếp tục vào dải đường dành cho xe cứu thương. Hành vi vi phạm giao thông nào mà người lái xe máy đã thực hiện?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Vi phạm biển dừng
Không dừng lại khi gặp biển dừng.
Mức phạt tiền: từ 2,000,000 – 5,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
2. Không ưu tiên xe cứu thương
Không ưu tiên khi xe cứu thương có đèn báo khẩn cấp.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
3. Vượt vào dải đường dành cho xe cứu thương
Tiếp tục vào dải đường dành cho xe cứu thương khi có đèn báo khẩn cấp.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Luật Giao thông đường bộ, 60, 1; Luật Giao thông đường bộ, 60, 2; Luật Giao thông đường bộ, 60, 3.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 12000000 đến 25000000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 12,000,000 – 25,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
